x_m,uy_microm
0.000000000000000000e+00,-7.643420745979766195e+01
2.500000000000000139e-02,-7.665407677533556807e+01
5.000000000000000278e-02,-7.732424256476903679e+01
7.500000000000001110e-02,-7.847725715907684219e+01
1.000000000000000056e-01,-8.017057255833169904e+01
1.250000000000000000e-01,-8.249266977735348405e+01
1.500000000000000222e-01,-8.557428192148785229e+01
1.750000000000000167e-01,-8.961518208801490459e+01
2.000000000000000111e-01,-9.492081562234105263e+01
2.250000000000000056e-01,-1.021499476602891150e+02
2.500000000000000000e-01,-1.121321858084748442e+02
2.750000000000000222e-01,-1.326288608761482521e+02
3.000000000000000444e-01,-1.422239750097445210e+02
3.250000000000000111e-01,-1.486603933672247990e+02
3.500000000000000333e-01,-1.527293969497917203e+02
3.750000000000000000e-01,-1.550283486722907753e+02
4.000000000000000222e-01,-1.557719056513534213e+02
4.250000000000000444e-01,-1.550283486722908322e+02
4.500000000000000111e-01,-1.527293969497916066e+02
4.750000000000000333e-01,-1.486603933672248559e+02
5.000000000000000000e-01,-1.422239750097446915e+02
5.250000000000000222e-01,-1.326288608761483943e+02
5.500000000000000444e-01,-1.121321858084748868e+02
5.750000000000000666e-01,-1.021499476602891292e+02
6.000000000000000888e-01,-9.492081562234108105e+01
6.250000000000000000e-01,-8.961518208801498986e+01
6.500000000000000222e-01,-8.557428192148798018e+01
6.750000000000000444e-01,-8.249266977735361195e+01
7.000000000000000666e-01,-8.017057255833195484e+01
7.250000000000000888e-01,-7.847725715907716904e+01
7.500000000000000000e-01,-7.732424256476940627e+01
7.750000000000000222e-01,-7.665407677533599440e+01
8.000000000000000444e-01,-7.643420745979813091e+01
